id	Amplitude	ContamPct	KSLabel	amplitude	channel	depth	firing_rate	group	n_spikes	shank
0	31.80000000	100.00000000	mua	1.84531879	0	20.00000000	0.3 spk/s		1833	0
1	50.50000000	100.00000000	mua	2.31233692	1	20.00000000	3.4 spk/s	noise	20244	0
2	32.20000000	100.00000000	mua	2.04194880	3	40.00000000	2.6 spk/s		15763	0
3	40.90000000	0.80000000	good	3.06291652	1	20.00000000	8.2 spk/s	good	49401	0
4	28.70000000	100.00000000	mua	1.95594192	5	60.00000000	3.5 spk/s		21074	0
5	117.90000000	100.00000000	mua	2.77468228	2	40.00000000	0.3 spk/s		2071	0
6	47.50000000	100.00000000	mua	2.56201696	2	40.00000000	0.7 spk/s		4091	0
7	48.00000000	3.70000000	good	3.99989557	3	40.00000000	5.9 spk/s	good	35667	0
8	40.80000000	9.00000000	good	3.94397664	4	60.00000000	4.4 spk/s	good	26355	0
9	35.20000000	100.00000000	mua	2.02209139	4	60.00000000	1.7 spk/s		10048	0
10	102.30000000	100.00000000	mua	3.24315810	5	60.00000000	0.4 spk/s		2130	0
11	41.60000000	100.00000000	mua	2.66050220	5	60.00000000	1.1 spk/s		6837	0
12	45.10000000	100.00000000	mua	2.80813408	6	80.00000000	2.3 spk/s		13981	0
13	46.90000000	8.40000000	good	2.31800079	6	80.00000000	1.3 spk/s		7898	0
14	55.50000000	0.00000000	good	2.36126590	7	80.00000000	1.9 spk/s		11416	0
15	42.10000000	3.90000000	good	3.84571218	7	80.00000000	7.1 spk/s	good	42915	0
16	45.40000000	0.00000000	good	2.20125008	11	120.00000000	0.5 spk/s		2911	0
17	46.20000000	0.00000000	good	2.60116243	9	100.00000000	0.4 spk/s		2553	0
18	49.10000000	100.00000000	mua	2.69429612	9	100.00000000	1.3 spk/s		7765	0
19	35.90000000	0.00000000	good	3.62011433	8	100.00000000	0.1 spk/s		656	0
20	48.10000000	10.00000000	good	2.76289010	10	120.00000000	1.2 spk/s		7006	0
21	106.60000000	100.00000000	mua	3.16675711	11	120.00000000	0.1 spk/s		501	0
23	107.50000000	2.70000000	good	2.66059089	11	120.00000000	3.5 spk/s		20816	0
24	34.00000000	100.00000000	mua	2.16738319	13	140.00000000	1.6 spk/s		9760	0
25	172.60000000	0.00000000	good	2.28759170	13	140.00000000	0.1 spk/s		347	0
26	55.20000000	100.00000000	mua	3.25552154	13	140.00000000	1.2 spk/s		7450	0
27	57.40000000	9.40000000	good	4.20088911	13	140.00000000	5.2 spk/s		31092	0
28	48.90000000	4.60000000	good	3.34275889	13	140.00000000	5.6 spk/s		34034	0
29	27.60000000	100.00000000	mua	1.88116264	16	180.00000000	2.7 spk/s		16497	0
30	43.00000000	7.80000000	good	2.69517970	6	80.00000000	0.9 spk/s		5662	0
31	36.60000000	0.00000000	good	4.04485083	16	180.00000000	0.8 spk/s		4946	0
32	228.10000000	0.00000000	good	4.31806898	16	180.00000000	5.7 spk/s		34305	0
33	59.60000000	100.00000000	mua	3.09044671	17	180.00000000	1.1 spk/s		6890	0
34	139.60000000	0.00000000	good	4.20371962	17	180.00000000	4.2 spk/s	good	25540	0
35	60.00000000	0.00000000	good	2.88115120	14	160.00000000	0.1 spk/s		646	0
36	40.30000000	3.60000000	good	3.49650526	23	240.00000000	9.1 spk/s		54735	0
37	42.40000000	4.60000000	good	3.44292974	23	240.00000000	9.1 spk/s	good	55004	0
38	41.10000000	100.00000000	mua	2.47775602	21	220.00000000	0.9 spk/s		5368	0
39	114.90000000	100.00000000	mua	2.77411723	17	180.00000000	0.1 spk/s		388	0
40	38.10000000	100.00000000	mua	2.53869748	21	220.00000000	2.6 spk/s		15959	0
41	29.40000000	100.00000000	mua	2.19204044	15	160.00000000	1.4 spk/s		8484	0
42	26.60000000	4.90000000	good	2.95525241	22	240.00000000	46.9 spk/s	good	282842	0
43	32.70000000	100.00000000	mua	2.68099022	18	200.00000000	3.0 spk/s		18214	0
44	102.70000000	100.00000000	mua	3.19370389	22	240.00000000	0.7 spk/s		4441	0
45	40.60000000	100.00000000	mua	2.67107916	27	280.00000000	1.8 spk/s		10911	0
46	259.70000000	0.00000000	good	3.40523148	19	200.00000000	0.1 spk/s		387	0
47	36.80000000	100.00000000	mua	1.82872558	23	240.00000000	0.0 spk/s		85	0
48	61.50000000	4.20000000	good	3.32462931	25	260.00000000	7.5 spk/s		45125	0
49	92.70000000	9.60000000	good	3.62093496	25	260.00000000	15.2 spk/s	good	91878	0
50	46.70000000	100.00000000	mua	2.71739435	25	260.00000000	2.7 spk/s		16269	0
51	48.10000000	100.00000000	mua	2.87458491	26	280.00000000	2.0 spk/s		11754	0
52	53.40000000	3.50000000	good	3.95060682	26	280.00000000	9.4 spk/s	good	56354	0
53	64.90000000	5.00000000	good	3.60984731	27	280.00000000	8.9 spk/s	good	53555	0
